Count,NewDate,Model,Rating,HelpfulYes,Helpfultotal,Date,UserID,Title,Review,,,
0,XX,B0014J07R2,4,0,0,9-Apr-14,A3C1CK5WUTQMFR,cisco-linksys wireless-g broadband router,I have had this router for about 3 years and its still working great.  This is a good product and I would recommend it to my friends.,,,
1,XX,B0014J07R2,4,0,0,9-Mar-14,A39CGQBH3AYXD6,"Long lasting router, but expensive for what you get.","I bought this router about 6-7 years ago, and it still works till today! However, I have upgraded to a Netgear R6250, which is much faster and gives me a better connection. This was a great router though, but I would consider looking into at least n routers now, or ac if you have the cash.Pros: Lasts very long  Good RangeCons: Slow Performance  G Router  Expensive for what you getOverall this is a good router, but please, look into an n or ac router. You could get a better performing router for cheaper.",,,
2,XX,B0014J07R2,4,0,0,15-Feb-14,A4B53OJXFPYZJ,Good stuff,"nice design of the outside, and the quality of machine is stable and won't have too much trouble to install it",,,
3,XX,B0014J07R2,5,0,0,7-Feb-14,A1MORHMIT899UA,as technically challenged...,"...as I am, this router was easy to set up, connect & use.there's not been a lick of trouble since.",,,
4,XX,B0014J07R2,5,0,0,24-Jan-14,A330ZVBOWXDFNG,Good product,"My linksys works good have a great security wireless and the speed needed for computer ,games console a smartphone  this product is great.",,,
5,XX,B0014J07R2,5,0,0,16-Jan-14,A14TZPVKYNZH4X,so far so good for a G Router,"bought in 2010 still kickin butt with 4 computers and 2 printers and several wireless devices cranking out 24/7.  have a same model as spare, since the last one (US Robotics) lasted 2 years.",,,
6,XX,B0014J07R2,1,0,0,9-Jan-14,AB5MTM2ORRSI2,"Pretty awful. Linksys, you are dead to me.","The short version of my gripes:The most recent WRT54G2 (version 1.5) that I received was defective. It didn't have the decency to simply not work; it stuck me with an intermittent connection that had me wondering what other gremlins were lurking in our network for almost three additional business days. I've had two other WRT54G2s in the last four years, because the ones that did work only work for about two years. Not what I hope for in terms of quality.And now for the long version, since I need to vent:Perhaps I deserved this latest misery because I was being a bit lazy in the first place, but Linksys really cranked out crap with this model.I'm the techiest of the people in my office, so I get stuck with the network equipment. However, I'm not that much above a novice so I prefer to stick with simple things when possible. Four years ago, our office got a first gen WRT54G2, and it was configured by an outside tech person. Two years later, it craps out on us. I discovered we could still get the same model, so I bought another, because I'd noted all the configuration settings from the first one, and knew it would be quick to get the second one going. It was, but that one also lasted just over two years and got flaky last month. Seeing the writing on the wall, I started shopping again and found that I could get version 1.5 of this same model. I knew there were fancier routers out there, but I wasn't super confident I'd configure them correctly if they were a lot different from what I was used to, so I thought I'd take the easy way out and ordered this router for a third time.I configured it and put it into service early one evening, and when I left the office everything seemed to be working fine. Later that evening, I realized it had lost its little mind and there was no internet access at our office (from outside the office, as well as inside, as I found out the next morning). Restarting it did get it online again, but I had suspicions that I might have caused this error somehow so I reset it to factory defaults and configured it one more time.When I put it back into service, I found that we had internet access, but it was intermittent. Because the router was new, I thought surely it was the least likely culprit... so I talked to our ISP, who confirmed it wasn't their issue or the modem's (which made sense, since our connection to our file server was also intermittent), and then I did the second 'easiest' thing I could, which was to replace our switch. The old switch was unmanaged, so I couldn't tell if it was malfunctioning, but it was less expensive and faster to buy another than to call our expensive IT people. After putting in the new switch, I realized it had not been the problem.My next move was to call for server support, since all our traffic goes through it. Dell said our NIC could be failing, and offered to replace it but it would take another business day. Since I still wasn't 100% confident that this new Linksys router was 'good' I decided to pick up another router at Best Buy and try it out. I got a shiny new Netgear R6300 and it has more options and capabilities than our old Linksys (and faster wireless, too). Although the configuration options were numerous, I was still able to wade through the configuration and get it working. That is what fixed our connection, finally.I spent THREE working days on this network issue because 1) I'm not an expert, as I said, 2) configuring and swapping these things does take a little time even if you're good at it, in my defense, 3) I spent MANY hours on the phone with our outside IT people and Dell, and 4) do you know how long it takes to research your next move when your internet connection is constantly dropping out? This has been a really frustrating week, my coworkers have been quite angry about it all too, and I had many other things I wanted to spend my time doing. I hope to save someone else from a crappy Linksys product. If you are fortunate enough not to get a dud in the first place, be advised that this router dies about every two years anyway.And for the record, yes, I had updated to the current firmware as soon as I opened the box.",,,
7,XX,B0014J07R2,5,0,0,6-Jan-14,A2S7IGUAN8YGZB,5 years later and it hasn't failed,"I bought this router back in May 2008, we are in 2014 and Im still using that same router...it has never failed nor has it given me problems. Great range and no connection disruption when online gaming thank you for 5-6 years of service",,,
8,XX,B0014J07R2,4,0,0,5-Jan-14,A47ISYBOMBJQ2,Works,"Still going strong since 2008.I have multiple wired and wireless going to it with no problems.TV, blu-ray, xbox, etc...",,,
9,XX,B0014J07R2,1,1,1,24-Dec-13,ACC6NH4NYN9ZT,Crap - Wont even stream a YouTube video without buffering,It's not like I know anything about routers and the difference. I just went to BestBuy and bought this and eventually realize how terrible it was when I couldn't stream any videos from my apartment at all. I could from work on their wifi but not mine so I eventually did research and bought a new router - Netgear Dual Band and it kicks ass. Dont have to worry about nonstop buffering and literally aging to watch 1 video online. Dont do it!,,,
