Count,NewDate,Model,Rating,HelpfulYes,Helpfultotal,Date,UserID,Title,Review,
0,XX,B005O55U2Y,5,0,0,11-Apr-14,A3038N72Q1JOFJ,All that and a bag of chips.,I had no idea this machine would be so easy to use and do so much more than I expected.,
1,XX,B005O55U2Y,5,0,0,10-Apr-14,A2LVX5527DM0L,Kicks the crap out of my old Epson,"This is a great printer.  Really solidly built with a bajillion and one functions.  Mostly though, it just does what a printer should do.  It prints fast, it scans nicely, and it duplexes right out of the box.",
2,XX,B005O55U2Y,5,0,0,10-Apr-14,A33FMNDH2M4SLV,Get this Printer!,"Disclaimer: I did not save money and bought this at Staples. Price here is pretty good.6 weeks ago, I cleaned house. 3 HP printers tossed out: none working, all between 6-10 years old. I was left with a 4 year old Lexmark with Wi-Fi. It was &#34;OK&#34; but not great. Hey, it worked [most of the time].2 weeks ago on a Thursday night at 8:50 PM my 16 yo son needed to print his homework, and the Lexmark was spewing Red [&#34;Cyan&#34;] everywhere. Broken. My wife said &#34;Get the HP 8600 Pro Plus&#34;. Why? She has 4 of them in her office, and the entire staff swears by it! [If my wife likes it, it must be a good printer.]Ran to Staples, got this, and by 11 PM had it working.It is sweet. Print is concise, colors are very good. I can print from my droid phone[!], and it has been perfect including the ability to scan to pdf, a must for me.They kill you on the ink [hello: they all do] and you MUST use HP ink cartridges [no more easy inky refills that I am aware]. We use XP, Vista, Win 7 and I have a Surface Pro 2 with Win 8.1 [no CD drive] and HP has all of the Drivers and software needed on their website for download. Nice...This printer is a workhorse and very intuitive. So far it has been the best printer purchase ever, and I've had quite a few.I like this...at least so far.",
3,XX,B005O55U2Y,5,1,1,9-Apr-14,A3N1PDD66R5D1U,Good printer,"I purchased this printer because it received the best reviews for it's class.Pros:Fast printingCheap per page costsWireless with remote print capabilitiesAll-in-one capabilitesCons:Large, bulky",
4,XX,B005O55U2Y,1,0,0,9-Apr-14,A3I6XKY3YO26V3,HP OfficeJet 8600,"This is the worst printer I've ever owned. It constantly gets &#34;paper jam&#34; errors yet when I remove the back, there is no evidence of a genuine paper jam. After I power cycle the printer, It feeds that piece of paper through (which it couldn't do if there was a real paper jam) and attempts to print on the next page before it too gets a paper jam error. After repeating this drill four or five times I sometimes actually get my printout. This printer is less than a year old. After researching this, I find that this is a widespread problem with this piece of junk and that HP has not owned up to it. DO NOT BUY THIS DEFECTIVE PRINTER!",
5,XX,B005O55U2Y,5,1,1,7-Apr-14,A3NOZXGNANY59N,Best printer for a Low price,I have had many HP printers but for the price I  paid at Amazon this is the best HP you can get. Black and Colors are superb Ink lasts longer then the H{P Photosmart I replaced.,
6,XX,B005O55U2Y,2,1,1,7-Apr-14,A3E4H0HG9F1EZ8,"Missing, upside down engineered","I guess they forgot to finish the design of this product.  While it is wired to my computer and wireless to others in the house.  It as many limitations.  You cannot access much of the information from your computer monitor.  You have to do all the copying from the little screen and much of the faxing.  You can not use your computer at all for any copy jobs (AT ALL).  That all is one from the printers little touch screen and may take up to 5 or 6 touches to do a process.  You cannot view or access your fax log from your monitor - it all has to be done from the printer touch screen.  Now the instructions say that you can have your faxes save to you computer but, it have to be re-installed or set back up almost, on a daily bases. And it looses contact with my computer about twice a week so I have to turn it off and restart it Twice a week.  I figured that if I get the software updates from HP it might improve but it seem to make it worse.  I usually have to start over on the setup of all the functions.  Typical HP.",
7,XX,B005O55U2Y,5,2,2,7-Apr-14,A2DU466GG4O2HN,A perfect AiO,"Sturdy construction, easy to install because of animated instructions, less expensive to run because of separate ink cartridges for each of .three colors + black. Quiet, flawless operation.",
8,XX,B005O55U2Y,1,1,1,6-Apr-14,A273DC46P943EJ,"non-existent paper jam, error message will not clear","This printer worked fine for almost a year, then stopped printing anything.  A bogus error message about a paper jam in the rear duplex tray would not go away no matter what I did.  There never was any paper jam; either a bad sensor or bad software is to blame.  I will be selling my HP stock.",
9,XX,B005O55U2Y,5,1,1,5-Apr-14,AVCDZYLQMDW0V,Fine printer/scanner for the money.,"We now have two of these units, one at our residence and one at our vacation home.  Both were easy to set up for wireless printing (from Macs, iPads, and iPhones).  The best thing is that the ink cartridges are HUGE and seem to last forever (at least 2 - 3 months with our printing requirements).  We have had no serious mechanical or electronic issues.  The one warning:  Use HP ink cartridges.  Every time we tried to use an off-brand, or to substitute a re-filled cartridge, we had problems.  Small price to pay for reliability, I think.",
10,XX,B005O55U2Y,5,0,0,14-Feb-14,A1TBP61EFWCSQQ,great printer,Easy wireless setup. Not great for someone who isn't familiar with setting up wireless network components. Print quality is excellent and fast.,
11,XX,B005O55U2Y,5,0,0,13-Feb-14,A2REUCAKSHMNAZ,Typical HP quality!,"It's been many years since I've owned a non-HP printer, and I've never been disappointed.  This model keeps my streak intact.  HP quality and performance simply can't be beat.  Setup was quick and simple, and performance is exceptional across the board.  If the ink cartridges last as long as estimated--or anywhere near estimates--I'll be pleased as Punch.  This is the perfect all-in-one solution for the wireless home office.  Highly recommend!",
12,XX,B005O55U2Y,5,0,0,13-Feb-14,A2C0COHD8DG27I,High quality,"This printer is high quality and produces pictures equivalent to those of my photo printer. The auto feed tray and double sided scanning is wonderful. However, sometimes if you only have a couple of papers, you have to push in the first one. After 5000 sheets in six months, I have yet to have any issues other than that one",
13,XX,B005O55U2Y,1,0,3,12-Feb-14,AEMUOTWHLMBKO,Cannot be installed on wireless network!,"Stay away from this printer. In spite of hours of efforts I haven't been able to install it on my network of 3 MACS - it works fine wirelessly with them - and a PC - where it doesn't. I've lost hours scouting the Web and the HP support pages without finding a solution. Stay away from this printer! Don't let yourself be fooled by the reviews as I have been. If you aren't convinced, go onto the Net and search under problems with HP 8600.",
14,XX,B005O55U2Y,5,0,0,11-Feb-14,A333S5A67IXZFA,Great Pinter,I got this for my son's office.  He uses his Ipad and Iphone for everything and want to print wirelessly.  After it was set up and I stopped by I printed from my Note II without a problem.  By printing on both sides saves you money on printing supplies,
15,XX,B005O55U2Y,4,0,0,11-Feb-14,AXZEF61AK22B5,Prints beautifully,"The only problem is that it sometimes fails to refresh the wireless connection; I have tried turning it off and on, but the only way to refresh seems to be to unplug it - which is not recommended by the manufacturer.Print quality is very good, it doesn't seem to drink ink like some printers - if not for the matter of the wireless, I'd rate it 5!",
16,XX,B005O55U2Y,5,0,0,11-Feb-14,ACJ4044274JG0,Best and fastest printer,This is the third one I have purchased. Mine it two years old and I bought both my son's one for Christmas,
17,XX,B005O55U2Y,5,0,0,10-Feb-14,AYIH2ZI7OC0C0,"Love my new prrinter, etc","I had searched several places and prices for a replacement printer, scanner, fax, copier.  My previous one was also HP which I loved but was old.  This model does everythingg I need with great quality, speed, clarity.  Instructions were easy to follow.Amazon had the best price so I bought it there.  Delivery was prompt and efficient.",
18,XX,B005O55U2Y,5,0,0,10-Feb-14,ABLBRK7ZM7EC9,HP finally gets it right,We had HP's first WiFi printer. Nightmare. Hesitant to buy this one but it came up number one in Mt demanding criteria. Glad to report it's heads and tails over the old model.,
19,XX,B005O55U2Y,5,0,0,10-Feb-14,A1C6ZVMZLT22E7,I was pleasantly surprised,"I tend to over-research things before I buy them, and for once I purchased this All-In-One Printer without reading the comments of the people who bought it--on the basis of CNet's recommendation.  After purchasing I happened to read the user's comments on CNet, and they were predominantly negative.  I crossed my fingers that it was due to the tendency for more people who are unhappy with their purchase to post a comment, than people who are happy with it.  Luckily, that seems to be the case!I'm a mac user, and the hardware seems to be wonderful, the printer prints consistently and beautifully, and my only complaint at this point is that I didn't look at the measurements--the unit is &#34;Pro&#34; as in &#34;Office-Sized.&#34;  But I'm really happy with it.  I haven't had it long enough to know if ink is expensive or not, so I can't speak to the unit's economy of use, but the ink cartridges that came with it are still cranking out quality copies several weeks later--a good sign.",
20,XX,B005O55U2Y,5,1,3,9-Feb-14,A271UQAVIG7BFG,An unnecessary demanded request to review your services.,"I find it ridiculous to demand these reviews, if I like the product and the service I will show that appreciation by using the services  again.  I can go to brick and mortar stores and not be browbeat into a review.In this case I am quite pleased with the product and the delivery.Only the demand for a review is at question.",
21,XX,B005O55U2Y,4,0,0,9-Feb-14,A6VLNKCP3HXWX,Nice Printer,Everything set up easily just as it was supposed to. Even was able to get the cloud printing via an email address to work first time out.  Ink Cartridges for the printer are somewhat expensive but then again seems HP makes more money off its ink then it does the printer itself.  Print quality is good and was even able to find everything I needed on line to add another the printer to another computer.,
22,XX,B005O55U2Y,1,2,9,9-Feb-14,A11LK5POWCGD2U,Why I hate this printer.,"Actually, why you should hate any Hewlett Packard printer.I purchased the Officejet Pro 8600 printer 18-24 months ago and it worked great.  Several months later Apple introduced its new operating system, Mavericks.  HP has not updated it's software to accommodate Mavericks and I have been waiting patiently.  Finally I called HP and they told me they have no plans on doing so, but suggested I purchase another printer from them at a discount.They have no plans on updating the software so they can force you to abandon a perfectly good printer and purchase another one.  Which, I assume, they will not support in a few months when Apple introduces its next operating system.To be fair it does work most of the time when wired to the printer using USB.  It doesn't work using WiFi.To add to my frustration with HP they tell you its time to refill your cartridges long before they are empty, trying to get you throw away an ink cartridge that may be capable of printing hundreds of additional pages,  And, recently I put a brand new HP brand ink cartridge in the printer and it rejected it saying it had expired!!3/8 Update:  And another thing, if you refill one of their ink cartridges the printer will not accept it!!!I hate Hewlett Packard as a company and you should too.",
