Count,NewDate,Model,Rating,HelpfulYes,Helpfultotal,Date,UserID,Title,Review,,,
5,XX,B002HWRJY4,1,2,2,1-Apr-14,A1V8N0EUQ8KQKM,"Poor product, Worst customer service and warranty by Netgear","I bought this product 4 months back and already the dual band does not work properly. 5GHz band keeps dropping the internet connection and 2.4GHz too gave up after sometime.Netgear customer support is the WORST i have ever seen. They expect customer to ship the defective product at customer's expense. Ridiculous!!!!Thank God I got square trade coverage, who are going to reimburse the shipping fees, or else i would have to suffer with this dirty product or pay $10-20 bucks to replace this one.",,,
25,XX,B002HWRJY4,1,3,3,15-Jan-14,A2RJVW4O44RVCK,Good for PC not Mac?,"Firmware software update useless. Spoke to Pakistan on 4 different occasions , no joy for a fix.This may be a good router for a PC, but not a Mac.",,,
49,XX,B002HWRJY4,1,0,2,23-May-11,AMUDHUVUI5APF,Avoid The WNDR3700!,"This router never did work right mostly because of dropped internet signals and complicated set up with instructions written in geek speak. After three weeks of frustration I gave up and returned this 'top of the line' router. Looking at the other reviews, I'm seem not to be alone. Thanks to Amazon for their no quibble return policy. I would not recommend anyone buy this router.",,,
64,XX,B002HWRJY4,1,1,2,14-May-11,AYVJIWKE759TR,WARNING WARNING,Device is a lemon. Works for a little while and then dies. No tech support for help after 90 days. Save yourself the money and aggravation from my experience.,,,
74,XX,B002HWRJY4,1,1,1,11-May-11,AXQSM9I4378V5,More Hassle Than Worth!,"The router is easy to set up and connect your equipment to it and maintains a stable network, however you will lose internet connectivity regularly.  There is an issue with the firmware that Netgear doesn't seem to want to recognize.  My father bought this router at the same time as me and he has the same issues as I do.  I would not recommend as it can cause you a major headache...",,,
82,XX,B002HWRJY4,1,1,1,9-May-11,AFOSWTSMYTPOT,Bad product,I bought this product about 2 months ago after reading the positive reviews on this site. It worked well for a month and then the problem started. Every few minutes it drops the connection and takes several minutes to reconnect again. I called the customer service several times and after changing the settings several times the problem did not get resolved. Netgear asked me send back the product for which I ended up spending $17 for no fault of mine. When the product is defective Netgear should make the returns free instead of trying to make money even on their defective products. I am waiting for my replacement and hope it will work.,,,
83,XX,B002HWRJY4,1,1,1,9-May-11,A38MG6A1HD7QNN,Stinks,Seller was great! Product is nothing but problems. Netgear support has not been able to repair the internet dropping issue.,,,
91,XX,B002HWRJY4,1,0,0,7-May-11,A1IELUJEAGKO1T,don't buy this router if you want the 90 day free tech support,don't buy this router if you want the 90 day free tech support. They will only help you set up your computer. If you have any peripherals such as a printer they will not help you without a minumim $35 charge,,,
95,XX,B002HWRJY4,1,0,0,4-May-11,A27PRLY1N6KEND,Avoid at all costs!  Known defects!,"Like many out there, my Wireless G signal keeps dropping.  It's random but it happened 3 times today.  Stock firmware was horrible and the updates were even worse- sometimes causing more problems.  Replaced with DD-WRT, still no luck.  People say they've reported this to Netgear, who responded 'It's a known issue, just return the product'.  That's if within 60 days, otherwise Netgear won't talk to you- besides the sales pitch for their IT support program!I'm not sure why many have defects and many have no problems.  It may be that 25% are defects, and/or those that aren't having problems use the Wireless N signal only, which does work fine for me.  Plus they may not use advanced options that also have problems (port fwd/trig, virtual srvr, dynDNS, monitoring- some of these are not even available).  Bottom line is that Netgear has been promising fixes for 2 years... In the meantime, people faithfully waited, surpassing return periods. Even if they didn't, they already set up the router, etc. and are committed.  They'd rather wait for a fix than deal with return hassles.It's a win-win for Netgear: sell a defective product with a low return rate and increase memberships for their IT support program.  Do not buy and return if possible.  It is the effective and moral thing to do.  Netgear doesn't value their customers.Pro:- Wireless N signal works for meCon:- Wireless G signal drops constantly- Stock firmware and GUI are horrible- Customer support is poor, if available at all- Some advanced features are unavailable or problematic- No monitoring support- PriceyCustomers shouldn't think that dealing with all of these problems is normal.Yeah I miss my Linksys WRT54G too.",,,
101,XX,B002HWRJY4,1,0,0,1-May-11,A34EJXIBZJS0RP,Useless for VOIP/SIP,"What a disappointment and shocking that a modern router at this price point can't handle SIP/VOIP. If you plan to do any internet phone calls, this router will most definitely not get the job done.",,,
102,XX,B002HWRJY4,1,0,0,29-Apr-11,A3SP9SP9QBE5W2,Very disappointed - look elsewhere,"Folks,I have had this router for 5 months.  I was hoping to take advantage of the latest gigabit speeds and the USB storage capabilities.  I have three major issues:1.  USB drive performance is terrible.  Also, requires a reboot every few days as the USB drive disappears from sight for no apparent reason.  My drive is a supported device.2.  The 2.5 ghz wireless speed fluctuates massively forcing you to reduce wireless access speed to get a solid and reliable connection.3.  The router blips out when pumping large amounts of data through it and disappears completely.  You can't ping it.  You have to reboot the router by pulling the power.I have unplugged this router and taken it out of my network.  I have reinstalled my old Zyxel X-550 as it gave me two years of excellent performance.  I can not recommend this router.As so much of the stuff we buy these days, this router is made in China.  Perhaps the quality isn't what we would expect from Netgear due to this being outsourced to a country not known for high quality.  That said, however... I think there is a lack of solid engineering here as the product just doesn't perform up to expectations.Thank you.",,,
105,XX,B002HWRJY4,1,0,0,26-Apr-11,A1UYO1JXXBYNLH,Waste of money...don't buy,Even Netgear support rep agreed that there is a bug in the firmware which makes the router drop connection with the internet (wired and wireless). I spent hours trying to figure out whether it is my ISP or Router and at the end bought Belkin N600 and have no issues of connection drops. I did not expect such a product from a company like Netgear. Probably this was my last netgear product.,,,
