Sentiment	Sentence
0	Unfortunately it is plagued by a sporadic DNS bug as documented here: customer service is frustrating to deal with and unhelpful.
0	I highly recommend you do not purchase this router.
0	"I waited a while before reviewing this product because i wanted to give it, its chance to shine but its absolutely garbage."
0	" Cons -Lasted 6 months; dropped DSL connections and self rebooted constantly Extremely unreliable wireless; had to reboot router daily Very long delay in establishing PPOE link to ISP Summary -Had a lot of confidence and hope given brand name but severely disappointed Actually shocked that any item associated with Cisco could be such garbage Cannot return to store now as past 1 month period Will attempt compensation from Linksys but not hopeful - buyer beware, brand means nothing"
0	Always dropping connection and mine its hell to get it working this thing just sucks overall STAY AWAY.
0	I did find the WiFi to be slower when trying to stream Netflix via either my old Wii or my new BluRay.
0	It would go in and out and was incredibly annoying.
0	"Cell phone service w/WiFi was also spotty, connecting, disconnecting over and over."
0	"Every time the power went out, even it was for a second, I would have to pull the plug out of the router (that reset button on the front does NOT work), count to 30 and plug it back in."
0	Sometimes this would take several tries before it would recognize my cable modem again.
0	Setting your name/password to keep your neighbors out was a bit tricky if you do not read the manual or you forget that the pre-set log in and password is always admin for both (usually).
0	"If you want a router that has better WiFi and will hopefully last longer than a year, do not buy this one."
0	Bought it because - stupid of me - was pretty.
0	After 6 months problems cropped up.
0	"First my smart phone failed to see the router in the network even though its right beside each other, turns out I needed to reboot the router."
0	"Then it reboots itself every 10 minutes or less, thought it was restarting because of the heat but nope."
0	"Did a clean reboot, reinstalled the firmware, still restarts every 10 freaking minutes."
0	"Called customer service, after navigating their options for 15 minutes and telling the guy on the other end my problem, the first thing he says is is your router properly plugged?, uh yeah, why do you think there are lights blinking?"
0	"after that episode, gave up the linksys and bought another router from a new company (tenda) with the same specs for 1/5 of the price."
0	"am now experimenting if i could use the linksys as a repeater wifi, an expensive repeater might i add."
0	It decided to quit out on me after about 1yr and a 1/2 after I began to use it.
0	do not buy this product unless you are going to just buy another one a year later anyway.
0	But its not worth your money.
0	"The connection was pretty cool, but the range was absolutely horrible."
0	"I set it up downstairs and the thing reached up to my room on the second floor, but the minute I went outside the door it just all but disappeared."
0	"My advice, do not waste your money on something that is just going to break on you, buy something worthwhile."
0	"Besides, the set up for everything was a pain in the ass, I am used to hooking up computers and such but when I tried this thing it took two hours for the damn connection to come through!"
0	It also went out at random times)
0	"Called customer service for help on setting up a secure system, was told Id have to pay as it was past warranty......though we verified my purchase of their product."
0	"Tried to set up a secure system myself and tho, fairly tech savvy, I gave up after multiple efforts."
0	I got rid of this low quality product.
0	The router has issues when used prior to doing the most recent needed firmware updates.
0	"Without them, the wireless speeds are slower, connections can be finicky and there is a strange bug these routers suffer from that causes them to have DNS issues (you can read about it on the Cisco-Linksys forums where hundreds of other people have had this issue).After the firmware update however, there is an immediate improvement in speeds and connectivity is not just no longer an issue, but even stronger than ever."
0	Where before it seemed like a 50-50 chance if you could even get someone logged into your wireless network.
0	Only v1 and v3 are supported by DD-WRT
0	"Do I tried setting it up with Linksys firmware to try the router out as is, and I could not even get through the browser based setup without it dropping/disconnecting the wireless connection"
0	Essentially the entire router would suddenly stop routing connections to the internet for no apparent reason (wired and wireless connections are effected).
0	"My computer will still be connected to the router, but I wont be able to access the internet."
0	"Further, I cant log into the router itself once its in this state."
0	The only solution is to reset the entire router by physically unplugging it
0	"This happens randomly which is frustrating when I need a constant, reliable connection."
0	"Occasionally it would fail to connect and Id have to power cycle the router, but only perhaps once a month or so."
0	"It has always had inconsistencies in the speed, particularly when more than one device is accessing at the same time."
0	"Sometimes it zips along very quickly, and other times slows to almost dialup speeds (I have a 20 Mbps connection)."
0	"Its not my ISP, as when the laptop is plugged directly into the wall, I do not have these speed inconsistency issues."
0	The last 6 months have been a nightmare.
0	I have to unplug it at least once daily when it decides to suddenly stop working.
0	Most commonly it decides that my wireless security key is incorrect- although it has not changed and my computer and other devices have been set up with the same password since I got this router.
0	"It must be power cycled (unplugged, let sit for ten seconds, then plugged back in) before it will recognize the security key again."
0	"I tried entirely resetting it and then setting up again with the same key, with no change."
0	"As this is the second Linksys wireless router I have had substantial reliability issues with, I wont be buying another of their products."
0	Linksys execs should be put in jail for fraud.
0	"They have been providing the mass market with a pile of plastic junk that works for awhile, once you get it configured, by yourself, because the included software never works, but will very quickly fail."
0	"I know they have plied us with cheap plastic, wired and wireless routers because I have a pile of them in the basement."
0	Customer support does not want to help you and tech support hopes that someone smarter than them will post it on the community support pages.
0	"That is a pretty good deal for the corporation; market $50 - $100 crap, hope it lasts through the warranty and pray any issues get supported and fixed by YOUR customers on the community support pages."
0	The warranty ended recently and so did the linksys wrt160nv3(cisco) it first started having connection problem( dropping the movie stations) when I called customer services I was told that the router was out of warranty and that I should buy another because this one could not be repaired.
0	The only issue I had was with setting the router up with the cd
0	I was extremely terrified about purchasing this router after reading about all the negative comments.
0	What a pain.
0	"while easy to set up, it constantly refuses to recognize our wireless devices and causes endless problems."
0	i pull it offline many times to connect directly to DSL modem because it fails so frequently.
0	"I have one major problem with this item, it has to be reset at least 3 times per day."
0	"If I had not waited so long to connect the router, it would have been returned to amazon"
0	"This router worked fine for about the first yr that I had it then out of nowhere it started dropping signal or the signal would go from 54 mbps to 11 mbps to 1 mbps, so I would power cycle the router & it would be fine for maybe 10 hrs for it to only do it again."
0	for a couple days then out of nowhere it would do it again & then I would have to power cycle the router several times in one day & then once again no probs for several days to maybe 2 wks to only have it do it again.
0	Then recently it is doing it again to where I am having to power cycle it almost every hour & sometimes it would not even come back on.
0	I previously had a Belkin G router that lasted 5 yrs before it ever did this & cost 1/4th the priced of this router.
0	"Now if I power cycle the router, it automatically only goes to 1 mbps & even my desktop which is hardwired has issues even though it says I am connected at 100 mpbs(I know this is not the true speed, but still getting about equal to dial up)."
0	"I have tried updating the software & recalling the software, changing the channels, & everything else that I have seen posted online and nothing has worked."
0	"I was so happy to be getting an N router, but was quickly disappointed when I discovered that despite it being an N router, it was not as good as my previous G+ router for streaming and gaming."
0	"If you want to get a router that works really well, get the WRT-400N instead."
0	That router is exactly what I hoped this router would have been.
0	"The 160N will really frustrate you, if you want to do more than simple Web searches."
0	First off I bought it because of the good reviews.
0	I have an older model yeah we all know which Linksys i am talking about.
0	"Anyway, mine came in earlier than stated"
0	"On with the router, well...I have not been able to even use it yet."
0	It says just pop in the disc and follow the on screen instructions.
0	"Well I did that, but I cannot pass the 4th step after set up."
0	For me I keep getting an error.
0	"I tried everything of my knowledge to try get it to work, but the error still keeps popping up so I cant use this router...I am using it on a Windows Vista computer too, a Studio 15.5 from dell"
0	If anyone knows about this problem please let me know how to fix it...Since I cant use the router...my review is this so far...hopefully I can figure out whats going on to give a full review of my experience when its working...
0	In one year I went through:1.Belkin.
0	It broke.2.Bought another $50 Belkin to replace the Belkin.
0	"It also broke, sent in for a replacement.3.Bought a Linksys."
0	Also broke.
0	"Used the belkin replacement I had.4.Belkin did not work out of box, even though it was BRAND NEW.5.Decided not to send anything for 1-year warranty replacement, hammered them down in my kitchen in frustration.6.Told my problems to a best buy seller who told me to buy another linksys and if it failed to install dd-wrt firmware and it would keep it going for the next 3 or 4 years until it broke down naturally."
0	I gave in and bought my second linksys.
0	Not to my surprise it started dropping connections within 2 months.
0	Had to be restarted multiple times daily.
0	in one year I went through 3 belkins.
0	If this one fails on me I am going for the airport extreme so that I can connect an external hard drive and make back-ups
0	There should be a class law suit against these people.
0	I think the instructions could have been written better.
0	Was having problems with my prior router: It would not consistently reach rooms on the other side of the house.
0	I constantly had to reboot my laptop because the networking driver would get garbled.
0	About month later it stopped working so I purchased this model and it worked fine.
0	The router would not allow all the same computers I had at the old place connect to it.
0	So I called Linksys for tech support and they wanted to charge me $49.99 for tech support.
0	I have an issue with a product shutting down just to get customers to pay for tech support and you can include all of this in the manual.
0	I have a large house so the upstairs receives hardly any signal at all.
0	I increased my service to gain better speed and added this to extend the range but this did not better the upstairs signal much at all.
0	We purchased this router only a couple months ago and it is already not working.
0	It wont register there is an internet cable plugged into the port.
0	"I tried resetting it, changed ports everything and it still wont work."
0	"The issue was that it would sporadically redirect anyone on the network from Facebook, for example, to some other site, like a MySpace page or somewhere else (once I got redirected to a gay bed and breakfast website"
0	The only way to fix it is to power off the router.
0	Its very frustrating.
0	Who knows what kind of a security leak that thing has.
0	Some of the included software would not load.
0	Do not know if it an OS conflict (WIN7) or not
0	Its not quite that easy.
0	"After having my daughter in law talk me through plugging it into the computer and modem (I had to keep the modem), it still did not work."
0	I then called the products customer service and even that lady was on the phone for an hour with me sorting out why it would not work.
0	THIS ROUTER SUCKS A FAT ONE!
0	"I have 20MBPS service, and it often slows down to 1mbps, and when I say often I mean all the time."
0	"I try to reset it, call customer service, but no avail."
0	This router is absolute garbage.
0	Id rather give my 50 bucks to someone to kick me in the junk and get the pain over with rather than the slow frustration that this thing causes me.
0	I want to kill it office space style.
0	This product work is one of the worst Ive bought.
0	"I own it, I paid a crap load and all it did was make me hate Linksys like I hate HP."
0	How many times have I reset my server or reconnected my connection?
0	"Meaning, buy this but know it is a living pain in the ass especially if you want to download anything that is a sizable download as you WILL 100 percent lose your connection and thus the box of this product should simply read bonus: will cause you subtle stress, enjoy!."
0	I simply accept it but its like accepting that you have Herpes or a wife that loathes you.
0	Thank you Linksys for creating a truly crappy product and if you worked on this product as a designer all I can say is your a truly untalented and stupid person whose work did nothing but make many other people unhappy.
0	You probably should have simply trafficked in human slavery or drugs and would have at least made more money but produced the same human misery
0	"To make my point, in the time it took to write this review my linksys stopped working."
0	"When I first purchased it a year ago, the firmware was pretty lousy."
0	It seemed like it constantly had to be reset otherwise it would get really slow.
0	"I must say, I saw no improvement with the DD-WRT firmware over the latest Linksys firmware."
0	I thought I was making a mistake buying this.
0	My only issue with it is that the frequency throws off my Nintendo 64 game system.
0	I have to keep it 2 ft away for it to play.
0	I will never throw away my money on Linksys again.
0	Overpriced with marginal signal range.
0	Every router I have owned from Linksys magically quits working one year after the warranty expires.
0	In order to get it working again you have to call their customer service department which charges you $40 to walk you through the set up again.
0	"Even though their CS is efficient in getting your router back up and running, it will not only cost you money, it will cost you time because you will be on the phone for hours, these people are like monkeys on drugs or foreign robots!"
0	My last Linksys router made it to the garbage but not before I beat the living $^*#%^& out of it with a hammer!
0	If I could give this ZERO stars I would but I guess the lowest you can go is ONE star.
0	"Got this router,looks nice,but unreliable,sometimes when i want to connect to facebook it takes me to myspace,and its a big problem with this router you can check on the linksys forum."
0	"Sometimes it would put out a signal but i still can connect to it,another problem you can see all over the internet."
0	"In short,when it works,works great,when it does not sucks real bad,so i am looking for a new router and i bought this in novemeber of 2010 thanx linksys for no firmware update and just selling shoddy products"
0	No help
0	Will not purchase from Cisco China Goods ever again.
0	"If you are looking for a router whose wireless rarely works, pre-sets parental controls making the internet nearly unusable and then requires you to register with linksys to change, randomly diverts you to other pages (type in facebook, sends you to myspace), is extraordinarily slow even when hardwired, charges you for customer support, and needs to be rebooted once per day in order to function, then this is the router for you."
0	"Avoid the pain, annoyance, frustration, and lack of function."
0	I cannot recommend this router to anyone.
0	"The included software, which is useless, does not work."
0	"At random times, it just shuts down, or stops broadcasting a connection."
0	"I get constant error messages, such as 404 - Not Found, or DNS errors, and Ive tried everything Ive found to try and fix it."
0	Linksys Support is absolutely no help.
0	Their representatives know absolutely nothing and put you on hold for extreme amounts of time
0	Overall I am simply not a happy user.
0	instructions are poor and the shareware is only good for a 10 day trial
0	This router simply cannot handle a Mac and a PC connected simultaneously.
0	"And if it does not, network speed is ATROCIOUS."
0	I think quite a few people had this problem (I have v3).
0	"It worked a bit better when computers of the same operating system were connected, but it would still crash occasionally."
0	I tried to contact customer support and they were utterly useless.
0	Made me send my model number three times and gave me canned responses.
0	DO NOT BUY THIS.
0	"Like others, Ive had many problems with the router."
0	"I was hoping that going to DD-WRT would make things better (I was not afraid to dabble in that), but unfortunately it just lead to more headaches."
0	"Ive decided to ditch this router and go with something newer ... looks like there are N-routers that are just as cheap, and hopefully they wont be as problematic."
0	Immediately upon using this router we started having Invalid URL problems on our wireless laptop and computer.
0	I  called Linksys while it was still covered under warranty and  complained of invalid URLs.
0	"They pointed the blame to the router, my new computer, etc., until the router was out of warranty."
0	"The invalid URLs were so bad ~ I could not use the web, mail, the laptop, or main computer .."
0	I finally had to connect the computer directly into the modem and threw away this horrible router.
0	This device out of the box for me was a pain.
0	I could hardly connect any of my devices easily and connections often dropped and froze.
0	I was to the point where I was just going to return the product and give up.
0	I found out that the hardware in the device is not to blame but it was the firmware that has many issues and limited compatibility
0	NOTE: v2.0 is not supported.4.
0	I had some difficulty at first because i had a router set up already but once I figured out what I was doing wrong it has been working just fine.
0	"After way too much time, I discovered that the hardware can do the job, but the firmware it is running from Linksys wont allow it."
0	"Even as a techie, this was way more than I had bargained for and took way too long."
0	"Why build a product that has built in features, only to cripple it to have less capability?"
0	So in the end the hardware might be 5 stars but the firmware only 1 star.
0	"But I get a TON of DNS problems, and have to reset the adapter constantly."
0	Do not buy this POS.
0	"I found I could only run in B-G mode without recycling it at least once a day, otherwise it dropped all connections and failed to respond."
0	Today it stopped making the handshake to my old Motorola cable-modem.
0	"Modem is fine, bypassing the router worked, so then I checked the router."
0	"Would not handshake the modem, even after a complete reset."
0	"It took me two complete evenings to set it up for connection to iMac, iBook, XP and iPad."
0	"In the end, the link is keeping dropping, and extremely slow."
0	"I must say the router was awfully made, i am wondering where is the drive to excellence spirit in cisco nowadays?"
0	"I installed it in just a couple of clicks, it has a bug trying to get the connection the first time but I think it was the Windows OS"
0	"It worked OK for 6 months, then it started to have troubles switching on:lights just blinked forever unless I re-connect power"
0	"I installed the latest firmware, but the start-up problem did not go away"
0	Instead I started to have troubles with wireless connection from my laptops
0	The customer support chat told me that I could not get free chat support because the item is no longer under warranty.
0	They want $29.95 to help fix the problem.
0	I will never buy another Cisco product!!
0	"I called my router company (per Sonys instructions)Cisco Linksys to get the ports open, and they would open the ports needed...for $29.95 (or somewhere in that ballpark)."
0	The customer service is hard to understand (outsourced from another country I suspect).
0	"I suppose if you are a computer programmer this will be okay, you will know your way around, but if you are the average Jane you will be screwed."
0	I can pay $30 every time I need help after my first year or...buy another router.
0	I am using this router for 1.5 year and I have not any problem until now.
0	"I have tried many suggestions I found on Amazon as well as other forums, but to no avail."
0	Promotional software is helpful but is only a trial so what appears to be something special is actually extra.
0	Seems to need fewer occasional resets to keep it alive than most routers.
0	NOT happy with this product
0	"slower than my G router (also linksys)took forever to set up , and more than 2 hours on the phone with linksys finally working, and SLOWER than my old router"
0	Cons- It needs to be power cycled on occasion.
0	"When I notice things moving a little sluggishly, I reboot it, maybe every 3-4 months?"
0	You are better off with the free version because customer service is almost not there.
0	Unfortunately I ended up buying this router after reading the reviews on Amazon.
0	The router was running super slow via wifi.
0	With direct connect cable speed was OK but via WiFi it was unbelievably slow.
0	Unfortunately the router started dropping connections all the time.
0	This router is a piece of junk and to save your time and money....DO NOT BUY IT.
0	I personally find the time spent trying to fix this junk more valuable than the $ spent.
0	"Cisco tries to force  its software for management, not good to do that."
0	Wireless stability not good.
0	DO NOT BUY THIS PRODUCT
0	"I purchased one over a year ago and since last month, it started randomly dropping connections."
0	Very annoying.
0	"Customer Support tried to help out but, at the end they decided to send me an older version"
0	So KEEP AWAY from this product.- A very unhappy WRT160N v3 user.
0	This has to be by far the WORST product I ever purchased (next to Belkin) for a router...It drops wireless connections like Iron Man drops bad guys....very lousy range and signal strength...Bring back the antennas...How do you expect to get any range with no external antennas and 1/8th of a watt power??
0	NONE of them worked properly.
0	"First one died, second one was unstable."
0	Do not buy this item.
0	"I love the Router, I did not like the fact that when I bought it, It was not restored to the factory settings so I had to figure that out while having the previous owners password and username on there, After about an hour I figured it out, Works great for what I needed it for, I am running a laptop and a ps3, The Laptop is my media server for the ps3 and I have not had a problem with it, I do not know about running lots of things off of it but for what I needed it for I cant complain, And Especially when it came to the price, Cant beat it"
0	"This routers wireless performance is very bad: slow speed, dropped connection frequently."
0	"After one year, it is completely dead."
0	"When I contacted Linksys customer service, I was told its no longer supported."
0	"I usually use my laptop, few meters away from the router (same floor).But the wireless signals disconnect very often."
0	The wireless signal lasts possibly for few minutes in the worst situation.
0	Within four months time it stopped working.
0	When I contacted the customer support they told to upgrade the firm ware and asked to pay $30 for that.
0	"As the unit is all black, it is a little hard to see."
0	"I upgraded my firmware (v2.0.02) preloaded, with the v2.0.03 from the Linksys website, and it killed my router."
0	I was on the phone with CISCO/Linksys Support for almost an hour and could not connect to the router at all.
0	This router is HORRIBLE
0	"But do not try to transfer large files!For example, I have a few TIVOs in my house, and I transfer entire programs and movies from one TIVO to another (in another room).All works well for a few minutes, and then the router stalls."
0	It stops transferring packets
0	"If you are lucky, you might get the entire file transferred."
0	But do not hold your breath
0	Same problems.
0	So do yourself a favor and stay away from this router.
