Count,NewDate,Model,Rating,HelpfulYes,Helpfultotal,Date,UserID,Title,Review
0,XX,B002M782UO,5,0,0,11-Apr-14,A1KMNX2SV8YN2Y,easy to clean and various,"Perfect style and easy to  clean, NO MILD,  The boards arrived in a timely manner. The three different  sizes make it easy to select for which chopping project I may have on hand."
1,XX,B002M782UO,4,0,0,9-Apr-14,AZ3CAQCJ2C0TE,Quite Good,Pros: Inexpensive; made out of wood; 3 different sizes in the set; doesn't dull knives; doesn't slide all over the place when using.Cons: Kind of &#34;sheds&#34; splintery bits; have to oil it to keep it from splintering and falling apart; must hand-wash; largest board is still relatively small.
2,XX,B002M782UO,3,0,0,8-Apr-14,AWD9I9BMN5FUM,Okay,"I like having wooden cutting board, but they warped and cracked in the dishwasher. I don't want a cutting board I can't sanitize in the dishwasher."
3,XX,B002M782UO,5,0,0,7-Apr-14,A1LAXUPII82J29,great,Worth the $$ you should get it! on time and enjoy it! don't wait another second! hurry while they last!
5,XX,B002M782UO,1,0,0,6-Apr-14,A115VO3YBPMTFA,They work...,"Just didn't like these, they work just require a lot of maintenance for something that shouldn't&#8230;don't be fooled they're kinda junky&#8230;the first time I washed them they made popping sounds for like 6 hours and upon inspection they small bamboo fibers were literally splitting into little hairs..kind of gross&#8230;you don't need the special oil they say you do, but medical grade mineral oil at your drug store or grocery&#8230;it's cheap and it does the same thing, I oil them about once a week. Honestly wish I had just sent them back."
6,XX,B002M782UO,5,0,0,6-Apr-14,A24A0POE60AVB9,Great,"Yes, just cutting boardsI love them.They are light and vary in size.Getting 3 is a convenience and they are at a good price.Now you can utilize multiples while cooking."
7,XX,B002M782UO,5,0,0,5-Apr-14,A1BU3A7C7BD31P,look nice,"Have had these cutting boards for several months. They look very nice, and we have not had any problems with them breaking or warping."
8,XX,B002M782UO,1,0,0,5-Apr-14,ATSLZ0D687OX,Don't waste your money!,"It did what it was suppose to until today. I used the middle sized board about 4 times and now its starting to split at the handle. Don't waste your money on this, I've only had this for about 6 weeks."
9,XX,B002M782UO,3,0,0,4-Apr-14,AQPAJ3T6IW5DZ,Good buy.,"A bit light, when attempting to cut on them they may slide. So be carful with how you are slicing. The smallest board slid right off the counter while attempting to slice a tomato. Good product for the price, just may not be the best for use as an actual cutting board."
10,XX,B002M782UO,5,0,0,7-Jan-14,A3886QUHLG56UH,cutting boards,There is nothing better in the kitchen then Bamboo cutting boards!!  They fit in the dishwasher if you want and clean up easy.  protects counters and keeps food safe.  Love these!!
11,XX,B002M782UO,5,0,0,7-Jan-14,A38ROKXMSZCCH7,Great set for my needs,I got this for under $10 and love it.  I had used the plastic boards for years and finally gave up on them after having to replace them so often.  I love these boards because they are hard but do not dull my knives.  One piece of advice is to buy some mineral oil at your local pharmacy (walgreens) and rub these boards with the oil as they do not come treated when purchased.
12,XX,B002M782UO,5,0,0,7-Jan-14,A1SRI09RYES35E,liked them,"I orginally bought these cutting boards because they were on sale but after using them, I would have paid full price. I especially enjoy the small cutting board as it doesn't take up much room and still gives you the ability to cut up veggies with ease."
13,XX,B002M782UO,5,0,0,7-Jan-14,A30Z64GON78HMV,Great cutting boards,This is a fine set of boards.  All 3 sizes are useful and they are thin so they leave very little footprint on my countertop when stored leaning against the wall.  Easy to clean.
14,XX,B002M782UO,5,0,0,7-Jan-14,A26DADU2ZQ6SGN,Best Little Cutting Boards In My Kitchen,"Besides the fact that these boards are from Totally Bamboo,  the different sizes and weights of these boards was the reason for buying this set.I had back surgery and could not get to my Totally Bamboo Malibu board and these just seemed to be a better choice right now and I am so glad I bought them. Easy to use, easy to clean, easy to store"
15,XX,B002M782UO,5,0,0,6-Jan-14,AVVIJ7EBPS4EI,Great Environmental Cutting boards,"I really like these cutting boards. A year in of good use and they all look fine. They are easy to clean and I cannot notice any stains on any of them yet. I haven't treated them or used the recommended maintenance and they're still doing well.I have never used these for meat and would be concerned about doing so with such a porous surface, but for veggies and bread these are perfect."
16,XX,B002M782UO,1,0,0,6-Jan-14,AWMG4K2NDNCP8,Need Bamboo Oil?,"These arrived and were smaller than expected.  I measured mine and thought they were about the same, but with the hand hold taken out they are really small.  Also had instructions to soak with bamboo oil.  Who has bamboo oil sitting around?  My wife gave them away before I found out where to get bamboo oil."
17,XX,B002M782UO,5,0,0,5-Jan-14,A1FOXAXSU02MPO,Best cutting boards,"We have tried many others, but these are the best by far. They last for years and look like new even after heavy use. They don't warp or splinter."
18,XX,B002M782UO,5,0,0,4-Jan-14,A321VVGR7UL7P0,really nice,"Great quality.convenient three pack.It is nice to have different sizesfor smaller jobs in the kitchen.Gave as a gift, and they loved it."
19,XX,B002M782UO,5,0,0,3-Jan-14,AJIHYOGV46FEY,Love these,Really nice boards.  Light weight and easy to clean and stay nice looking. I would recommend these to anyone. .
20,XX,B002M782UO,5,0,0,3-Jan-14,A2KZE2TPQ1QO0S,"So far, so good!","I have only used these cutting boards a couple of times, but so far they have held up very well.  They're easy to clean, easy to store and they look really nice.  They are sturdy and provide a nice, flat cutting surface."
21,XX,B002M782UO,5,0,0,3-Jan-14,A3NYHH6I8C28F8,Great Product!,I was looking and looking everyday for a Lightning Deal that I could get and then these popped up at a great price so I couldn't pass it up. I bought and received them very quickly and they're awesome! I can't wait to get some use out of them!
22,XX,B002M782UO,5,0,0,2-Jan-14,A27RL8MHMINRIW,the best I ever had,"I ordered a set like this for myself last year,,,loved them so much I got my son and daughter-in-law a set for Christmas!  Their eyes lit up!"
23,XX,B002M782UO,5,0,0,2-Jan-14,A3RXPJZSGYRTCM,Great cutting boards,"Excellent sizes for everyday use and I love the small one for serving. Bamboo so they're cheap, renewable, and water friendly (more so than most wood, anyway).I have 2 sets and use em both all the time."
