Sentence	Firmware	Installation	Performance	Usability	Support	Sentiment
This router works well... most of the time.	0	0	0	0	0	0
Unfortunately it is plagued by a sporadic DNS bug as documented here: customer service is frustrating to deal with and unhelpful.	0	0	0	0	0	0
I highly recommend you do not purchase this router.	0	0	0	0	0	0
"I waited a while before reviewing this product because i wanted to give it, its chance to shine but its absolutely garbage."	0	0	0	0	0	0
Always dropping connection and mine its hell to get it working this thing just sucks overall STAY AWAY.	0	0	0	0	0	0
This is a great router and worked without hassle.	0	0	0	0	0	0
The software made it easy and it has the regular amount of control you would expect from a router now a days.	0	0	0	0	0	0
It works so well that I forgot about it.	0	0	0	0	0	0
I didnt touch it for over a year and only then because I moved.	0	0	0	0	0	0
I bought 2 of these routers to allow myself to make my home wireless signal a bit more accessible.	0	0	0	0	0	0
One of them worked perfectly and the other didnt work at all and as they were purchased from an unauthorized dealer there was no warranty.	0	0	0	0	0	0
"After 1 month the working one still works great, but I had to purchase another of these routers to replace the broken one"	0	0	0	0	0	0
"This is the first time I have had an issue about an non-working product so I wouldnt use that to deter your purchasing the item, because overall (if they work) they work very well"	0	0	0	0	0	0
Hope this helps!	0	0	0	0	0	0
A good item.	0	0	0	0	0	0
We hooked it up and it simplified all the cords and hookups on my computer.	0	0	0	0	0	0
Satisfied with this computer gadget.	0	0	0	0	0	0
I set this router up for a small business and it works great.	0	0	0	0	0	0
"Fast, secure, and reliable."	0	0	0	0	0	0
That about says it all!	0	0	0	0	0	0
"easy install, so far it seems to be matching the performance that was described."	0	0	0	0	0	0
"As in all things, time is the true test of how well it workds"	0	0	0	0	0	0
"Easy set-up simply put the disk in, follow directions, print the encryption code and connect!"	0	0	0	0	0	0
"The range is exceptional, especially in our large home with all the supported electronic devices (laptop, tablet, printers and PC)!"	0	0	0	0	0	0
This is a great router for the money.	0	0	0	0	0	0
I bought this because I had its older brother and liked it.	0	0	0	0	0	0
I now use the older brother as a wireless bridge to my Linux cluster in the basement and my wife is very happy about not having a network cable running across the kitchen floor to the basement anymore.	0	0	0	0	0	0
"If you have problems with this router, return it and get a new one."	0	0	0	0	0	0
"When you make thousands of something, there is bound to be a few getting past QC with a flaw or two."	0	0	0	0	0	0
Just get your new one and enjoy.	0	0	0	0	0	0
"I cant recall the exact date I bought this (it wasnt off Amazon), but it lasted around one year, then a blip of a power outage fried it."	0	0	0	0	0	0
It was a decent router while I had it.	0	0	0	0	0	0
Easy set-up and decent WiFi for my basic needs.	0	0	0	0	0	0
I did find the WiFi to be slower when trying to stream Netflix via either my old Wii or my new Blu-Ray.	0	0	0	0	0	0
It would go in and out and was incredibly annoying.	0	0	0	0	0	0
"Cell phone service w/WiFi was also spotty, connecting, disconnecting over and over."	0	0	0	0	0	0
"It was great for computers, laptops, and printers, but other devices, not so much."	0	0	0	0	0	0
"Every time the power went out, even it was for a second, I would have to pull the plug out of the router (that reset button on the front does NOT work), count to 30 and plug it back in."	0	0	0	0	0	0
Sometimes this would take several tries before it would recognize my cable modem again.	0	0	0	0	0	0
Setting your name/password to keep your neighbors out was a bit tricky if you dont read the manual or you forget that the pre-set log in and password is always admin for both (usually).	0	0	0	0	0	0
"If you want a router that has better WiFi and will hopefully last longer than a year, dont buy this one."	0	0	0	0	0	0
"If you just need a basic WiFi for 1 - 2 computers (no tablets, smartphones, printers, Netflix, etc.), it would probably work fine."	0	0	0	0	0	0
Maybe plug it into a power surge strip though.	0	0	0	0	0	0
Ill be buying one for my new router!	0	0	0	0	0	0
Bought it because - stupid of me - was pretty.	0	0	0	0	0	0
After 6 months problems cropped up.	0	0	0	0	0	0
"First my smartphone failed to see the router in the network even though its right beside each other, turns out I needed to reboot the router."	0	0	0	0	0	0
"Then it reboots itself every 10 minutes or less, thought it was restarting because of the heat but nope."	0	0	0	0	0	0
"Did a clean reboot, reinstalled the firmware, still restarts every 10 freaking minutes."	0	0	0	0	0	0
"Called customer service, after navigating their options for 15 minutes and telling the guy on the other end my problem, the first thing he says is is your router properly plugged?, uh yeah, why do you think there are lights blinking?"	0	0	0	0	0	0
magic?	0	0	0	0	0	0
"after that episode, gave up the linksys and bought another router from a new company (tenda) with the same specs for 1/5 of the price."	0	0	0	0	0	0
"am now experimenting if i could use the linksys as a repeater wifi, an expensive repeater might i add."	0	0	0	0	0	0
Seriously?	0	0	0	0	0	0
"Ive read some reviews and Ive actually used the damn product, in fact I have it right here with me."	0	0	0	0	0	0
It decided to quit out on me after about 1yr and a 1/2 after I began to use it.	0	0	0	0	0	0
Dont buy this product unless youre going to just buy another one a year later anyway.	0	0	0	0	0	0
But its not worth your money.	0	0	0	0	0	0
"The connection was pretty cool, but the range was absolutely horrible."	0	0	0	0	0	0
"I set it up downstairs and the thing reached up to my room on the second floor, but the minute I went outside the door it just all but disappeared."	0	0	0	0	0	0
I was right on the other side of the wall with my laptop too!	0	0	0	0	0	0
"My advice, dont waste your money on something thats just going to break on you, buy something worthwhile."	0	0	0	0	0	0
"Besides, the set up for everything was a pain in the ass, Im used to hooking up computers and such but when I tried this thing it took two hours for the damn connection to come through!"	0	0	0	0	0	0
It also went out at random times)	0	0	0	0	0	0
"Called customer service for help on setting up a secure system, was told Id have to pay as it was past warranty......though we verified my purchase of their product."	0	0	0	0	0	0
"Tried to set up a secure system myself and tho, fairly tech savvy, I gave up after multiple efforts."	0	0	0	0	0	0
I got rid of this low quality product.	0	0	0	0	0	0
I now have a much superior Apple Extreme Airport router.	0	0	0	0	0	0
Ive bought and installed 3 of these over the past 2 years.	0	0	0	0	0	0
"The first I bought for my home 2 years ago, the second I ordered and installed for a friend who wanted one like mine, and the third I ordered and installed a week ago for a family member"	0	0	0	0	0	0
The router has issues when used prior to doing the most recent needed firmware updates.	0	0	0	0	0	0
"All 3 routers, bought at different times over the last 2 years needed to have the updates loaded."	0	0	0	0	0	0
"Without them, the wireless speeds are slower, connections can be finicky and there is a strange bug these routers suffer from that causes them to have DNS issues (you can read about it on the Cisco-Linksys forums where hundreds of other people have had this issue).After the firmware update however, there is an immediate improvement in speeds and connectivity is not just no longer an issue, but even stronger than ever."	0	0	0	0	0	0
Where before it seemed like a 50-50 chance if you could even get someone logged into your wireless network.	0	0	0	0	0	0
"Now after the update, its simple and works every single time."	0	0	0	0	0	0
Step by step directions on how to do this update can be found on the Linksys website.	0	0	0	0	0	0
I am very pleased with the Cisco Router I bought from you.	0	0	0	0	0	0
It was easy to install and has worked great so far.	0	0	0	0	0	0
The price was excellent as we shopped around before looking at Amazon.	0	0	0	0	0	0
I think Amazon has great prices on everything we have bought from you!	0	0	0	0	0	0
I would recommend this to anyone looking to buy a router and looking for a great price!	0	0	0	0	0	0
Cisco-Linksys WRT160N Wireless-N Broadband Router	0	0	0	0	0	0
"Thank you,Firecracker"	0	0	0	0	0	0
I bought this planning to flash DD-WRT like so many others have done successfully.	0	0	0	0	0	0
"When mine arrived, the model number on the back of the unit said v2."	0	0	0	0	0	0
Only v1 and v3 are supported by DD-WRT	0	0	0	0	0	0
"Do I tried setting it up with Linksyss firmware to try the router out as is, and I couldnt even get through the browser based setup without it dropping/disconnecting the wireless connection"	0	0	0	0	0	0
So watch out for the version number that you get.	0	0	0	0	0	0
Theres probably no way of knowing what youre getting until you open the box.	0	0	0	0	0	0
Im not tech savvy so when I started thinking about a home network I contacted the computer tech who weve come to rely on for work on my computer.	0	0	0	0	0	0
I had no clue what to look for or buy.	0	0	0	0	0	0
He suggested wireless because of the size of our home and said anything by Cisco-Linksys he highly recommended.	0	0	0	0	0	0
"Well, he was right."	0	0	0	0	0	0
The system is now up and running and working beautifully - thanks to Cisco-Linksys WRT160N Wireless-N Broadband Router	0	0	0	0	0	0
"Good price, good product!"	0	0	0	0	0	0
I highly recommend it.	0	0	0	0	0	0
This router was easy to set up and configure to my home network needs.	0	0	0	0	0	0
"However, after about a year, the router has become unstable and randomly freezes."	0	0	0	0	0	0
Essentially the entire router would suddenly stop routing connections to the internet for no apparent reason (wired and wireless connections are effected).	0	0	0	0	0	0
"My computer will still be connected to the router, but I wont be able to access the internet."	0	0	0	0	0	0
"Further, I cant log into the router itself once its in this state."	0	0	0	0	0	0
The only solution is to reset the entire router by physically unplugging it	0	0	0	0	0	0
"This happens randomly which is frustrating when I need a constant, reliable connection."	0	0	0	0	0	0
Worked okay (but not great) for about a year.	0	0	0	0	0	0
"Occasionally it would fail to connect and Id have to power cycle the router, but only perhaps once a month or so."	0	0	0	0	0	0
"It has always had inconsistencies in the speed, particularly when more than one device is accessing at the same time."	0	0	0	0	0	0
"Sometimes it zips along very quickly, and other times slows to almost dialup speeds (I have a 20 Mbps connection)."	0	0	0	0	0	0
"Its not my ISP, as when the laptop is plugged directly into the wall, I dont have these speed inconsistency issues."	0	0	0	0	0	0
The last 6 months have been a nightmare.	0	0	0	0	0	0
I have to unplug it at least once daily when it decides to suddenly stop working.	0	0	0	0	0	0
Most commonly it decides that my wireless security key is incorrect- although it hasnt changed and my computer and other devices have been set up with the same password since I got this router.	0	0	0	0	0	0
